"","Yr","Seas","Flt","Gender","Part","Nsamp","f6","f8","f10","f12","f14","f16","f18","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","f58","f60","f62","f64","f66","f68","f70","f72","m6","m8","m10","m12","m14","m16","m18","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56","m58","m60","m62","m64","m66","m68","m70","m72"
"19",2021,1,1,0,1,1336,0.00449101796407186,0.00449101796407186,0.0119760479041916,0.0142215568862275,0.0329341317365269,0.0546407185628743,0.0845808383233533,0.13248502994012,0.144461077844311,0.150449101796407,0.139221556886228,0.109281437125749,0.0673652694610778,0.0261976047904192,0.0149700598802395,0.00598802395209581,0.00149700598802395,0.000748502994011976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2006,1,2,0,1,252,0.00793650793650794,0.0476190476190476,0.107142857142857,0.0912698412698413,0.0595238095238095,0.0912698412698413,0.103174603174603,0.0634920634920635,0.115079365079365,0.0674603174603175,0.0714285714285714,0.0357142857142857,0.0476190476190476,0.0198412698412698,0.0357142857142857,0.00793650793650794,0,0.0158730158730159,0.00793650793650794,0.00396825396825397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2007,1,2,0,1,318,0,0,0.00314465408805031,0.0125786163522013,0.0660377358490566,0.135220125786164,0.216981132075472,0.216981132075472,0.141509433962264,0.128930817610063,0.0440251572327044,0.0188679245283019,0.00628930817610063,0.00314465408805031,0.00314465408805031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00314465408805031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2008,1,2,0,1,335,0,0,0,0.0149253731343284,0.026865671641791,0.122388059701493,0.188059701492537,0.229850746268657,0.17910447761194,0.104477611940299,0.0686567164179104,0.0388059701492537,0.017910447761194,0.00298507462686567,0,0,0,0,0,0.00298507462686567,0,0,0,0,0.00298507462686567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2009,1,2,0,1,490,0,0,0,0.00816326530612245,0.026530612244898,0.0979591836734694,0.155102040816327,0.226530612244898,0.195918367346939,0.16530612244898,0.0877551020408163,0.0204081632653061,0.0142857142857143,0.00204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2010,1,2,0,1,208,0,0,0.0144230769230769,0.0144230769230769,0.0192307692307692,0.0432692307692308,0.0913461538461538,0.235576923076923,0.288461538461538,0.177884615384615,0.0817307692307692,0.0192307692307692,0.00480769230769231,0.00480769230769231,0,0,0,0,0,0,0,0,0.00480769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",2011,1,2,0,1,446,0.00224215246636771,0.0112107623318386,0.0201793721973094,0.0941704035874439,0.168161434977578,0.13677130044843,0.141255605381166,0.143497757847534,0.152466367713004,0.0739910313901345,0.031390134529148,0.0112107623318386,0.00224215246636771,0.00448430493273543,0.00672645739910314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",2012,1,2,0,1,588,0,0.00680272108843537,0.0255102040816327,0.0799319727891157,0.168367346938776,0.200680272108844,0.187074829931973,0.127551020408163,0.0884353741496599,0.0561224489795918,0.0306122448979592,0.0136054421768707,0.00510204081632653,0.00680272108843537,0,0,0.00170068027210884,0.00170068027210884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",2013,1,2,0,1,855,0.00233918128654971,0.0175438596491228,0.0233918128654971,0.0701754385964912,0.148538011695906,0.2,0.176608187134503,0.174269005847953,0.0795321637426901,0.0584795321637427,0.0269005847953216,0.00818713450292398,0.00233918128654971,0,0.00233918128654971,0.00116959064327485,0.00233918128654971,0,0,0.00116959064327485,0,0.00116959064327485,0.00233918128654971,0.00116959064327485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2014,1,2,0,1,623,0.00160513643659711,0.00321027287319422,0.0160513643659711,0.0401284109149278,0.0898876404494382,0.170144462279294,0.184590690208668,0.189406099518459,0.126805778491172,0.0914927768860353,0.0674157303370786,0.0176565008025682,0.00160513643659711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",2015,1,2,0,1,686,0,0,0.0102040816326531,0.0451895043731778,0.097667638483965,0.158892128279883,0.167638483965015,0.211370262390671,0.174927113702624,0.0918367346938776,0.0306122448979592,0.0087463556851312,0.00291545189504373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",2016,1,2,0,1,443,0,0,0.00451467268623025,0.0203160270880361,0.0790067720090293,0.110609480812641,0.158013544018059,0.227990970654628,0.173814898419865,0.135440180586907,0.0519187358916479,0.0225733634311512,0.0112866817155756,0,0,0.00225733634311512,0,0.00225733634311512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",2017,1,2,0,1,142,0,0.00704225352112676,0,0.0704225352112676,0.0704225352112676,0.154929577464789,0.190140845070423,0.246478873239437,0.133802816901408,0.0704225352112676,0.0211267605633803,0.0211267605633803,0.0140845070422535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",2018,1,2,0,1,213,0,0,0,0,0.0234741784037559,0.07981220657277,0.197183098591549,0.352112676056338,0.2018779342723,0.103286384976526,0.0328638497652582,0.00938967136150235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",2019,1,2,0,1,339,0,0,0.00589970501474926,0,0.0117994100294985,0.0530973451327434,0.123893805309735,0.23598820058997,0.300884955752212,0.168141592920354,0.0648967551622419,0.0176991150442478,0.00884955752212389,0.00884955752212389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",2020,1,2,0,1,424,0,0,0,0.00707547169811321,0.00943396226415094,0.0117924528301887,0.0825471698113208,0.214622641509434,0.290094339622642,0.19811320754717,0.0919811320754717,0.0400943396226415,0.0141509433962264,0.0117924528301887,0.00707547169811321,0.00707547169811321,0.00471698113207547,0.00471698113207547,0.00235849056603774,0,0,0,0,0.00235849056603774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",2021,1,2,0,1,418,0,0.00239234449760766,0.00239234449760766,0.00956937799043062,0.0143540669856459,0.0406698564593301,0.0741626794258373,0.145933014354067,0.248803827751196,0.244019138755981,0.131578947368421,0.0526315789473684,0.0263157894736842,0.00478468899521531,0.00239234449760766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",2005,1,3,0,1,7,0,0,0,0,0,0,0,0,0,0,0.285714285714286,0,0.285714285714286,0.285714285714286,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",2006,1,3,0,1,112,0,0,0,0,0,0,0.00892857142857143,0.00892857142857143,0.0267857142857143,0.0803571428571429,0.133928571428571,0.116071428571429,0.116071428571429,0.0892857142857143,0.178571428571429,0.0357142857142857,0.00892857142857143,0.0535714285714286,0.0357142857142857,0.0267857142857143,0.0267857142857143,0,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.0267857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",2007,1,3,0,1,245,0,0,0.00408163265306122,0,0,0.00408163265306122,0.00408163265306122,0.0163265306122449,0.0285714285714286,0.0408163265306122,0.0857142857142857,0.126530612244898,0.130612244897959,0.106122448979592,0.122448979591837,0.073469387755102,0.0244897959183673,0.0489795918367347,0.0489795918367347,0.0326530612244898,0.0204081632653061,0.00408163265306122,0.0244897959183673,0.00408163265306122,0.00816326530612245,0.00816326530612245,0.00408163265306122,0.0204081632653061,0.00816326530612245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",2008,1,3,0,1,67,0,0,0,0,0.0149253731343284,0,0.0149253731343284,0,0,0.0895522388059701,0.0149253731343284,0.149253731343284,0.17910447761194,0.17910447761194,0.119402985074627,0.0895522388059701,0.0447761194029851,0.0447761194029851,0.0298507462686567,0,0.0149253731343284,0,0,0.0149253731343284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",2009,1,3,0,1,50,0,0,0,0,0,0,0,0,0,0.02,0.08,0.12,0.12,0.06,0.1,0.1,0.06,0.08,0.08,0.06,0.04,0.02,0.02,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",2010,1,3,0,1,74,0,0,0,0.0135135135135135,0.0540540540540541,0.0405405405405405,0.027027027027027,0.0540540540540541,0,0.0135135135135135,0.175675675675676,0.0945945945945946,0.162162162162162,0.0675675675675676,0.0135135135135135,0.0675675675675676,0.0675675675675676,0.0540540540540541,0.0540540540540541,0.0135135135135135,0.0135135135135135,0,0,0,0,0,0.0135135135135135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",2011,1,3,0,1,236,0,0,0,0,0,0.0127118644067797,0.0254237288135593,0.0169491525423729,0.0211864406779661,0.038135593220339,0.0593220338983051,0.0635593220338983,0.110169491525424,0.0932203389830508,0.0635593220338983,0.0677966101694915,0.0720338983050847,0.0593220338983051,0.0593220338983051,0.0550847457627119,0.0254237288135593,0.0254237288135593,0.0296610169491525,0.0296610169491525,0.00847457627118644,0.0211864406779661,0,0.0169491525423729,0,0.0127118644067797,0.00423728813559322,0.00847457627118644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",2012,1,3,0,1,455,0,0,0.0021978021978022,0.0043956043956044,0.00879120879120879,0.00879120879120879,0.0197802197802198,0.0175824175824176,0.0461538461538462,0.0901098901098901,0.0901098901098901,0.16043956043956,0.10989010989011,0.0945054945054945,0.0769230769230769,0.0483516483516484,0.0395604395604396,0.0417582417582418,0.0461538461538462,0.0153846153846154,0.00879120879120879,0.0153846153846154,0.00879120879120879,0.00659340659340659,0.00659340659340659,0.0043956043956044,0.0131868131868132,0.0021978021978022,0.0021978021978022,0.00659340659340659,0.0021978021978022,0.0021978021978022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",2013,1,3,0,1,154,0,0,0,0,0,0,0,0.0194805194805195,0.025974025974026,0.025974025974026,0.051948051948052,0.0909090909090909,0.0649350649350649,0.0454545454545455,0.0779220779220779,0.0779220779220779,0.0714285714285714,0.0974025974025974,0.0714285714285714,0.0844155844155844,0.0324675324675325,0.051948051948052,0.0324675324675325,0,0.012987012987013,0.012987012987013,0.025974025974026,0.00649350649350649,0,0.0194805194805195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",2014,1,3,0,1,182,0,0,0,0,0.00549450549450549,0,0.00549450549450549,0.010989010989011,0.0274725274725275,0.0659340659340659,0.175824175824176,0.175824175824176,0.181318681318681,0.159340659340659,0.0549450549450549,0.032967032967033,0.0164835164835165,0.032967032967033,0.00549450549450549,0.0164835164835165,0.00549450549450549,0.010989010989011,0.00549450549450549,0.00549450549450549,0,0,0.00549450549450549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",2015,1,3,0,1,212,0,0,0,0.00943396226415094,0.0283018867924528,0.0188679245283019,0.0188679245283019,0.0283018867924528,0.0518867924528302,0.080188679245283,0.108490566037736,0.165094339622642,0.0943396226415094,0.108490566037736,0.0849056603773585,0.0707547169811321,0.0613207547169811,0.0235849056603774,0.00943396226415094,0.00471698113207547,0.00943396226415094,0.00471698113207547,0,0.00471698113207547,0.00471698113207547,0,0,0,0,0.00471698113207547,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",2016,1,3,0,1,461,0,0,0,0,0,0,0.00650759219088937,0.0151843817787419,0.0195227765726681,0.0477223427331887,0.0715835140997831,0.0997830802603037,0.117136659436009,0.0911062906724512,0.101952277657267,0.0477223427331887,0.052060737527115,0.0477223427331887,0.0433839479392625,0.0368763557483731,0.0412147505422994,0.0390455531453362,0.0368763557483731,0.017353579175705,0.0151843817787419,0.0195227765726681,0.0108459869848156,0.00867678958785249,0.00650759219088937,0.00216919739696312,0.00216919739696312,0.00216919739696312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",2017,1,3,0,1,349,0,0,0,0,0,0.00286532951289398,0.00286532951289398,0.00859598853868195,0.0171919770773639,0.0458452722063037,0.0773638968481375,0.0888252148997135,0.0773638968481375,0.0659025787965616,0.0974212034383954,0.0888252148997135,0.0744985673352436,0.0343839541547278,0.0630372492836676,0.0429799426934097,0.0343839541547278,0.0372492836676218,0.0401146131805158,0.0229226361031519,0.0143266475644699,0.0114613180515759,0.0200573065902579,0.0114613180515759,0.00286532951289398,0.00573065902578797,0.00573065902578797,0.00573065902578797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",2018,1,3,0,1,360,0,0.00277777777777778,0,0.00277777777777778,0,0,0.00555555555555556,0.00277777777777778,0.0138888888888889,0.0361111111111111,0.0611111111111111,0.0916666666666667,0.0861111111111111,0.0805555555555556,0.105555555555556,0.0722222222222222,0.0638888888888889,0.0694444444444444,0.0694444444444444,0.0777777777777778,0.0388888888888889,0.0277777777777778,0.0194444444444444,0.0138888888888889,0.00833333333333333,0.0166666666666667,0.0138888888888889,0.00555555555555556,0.00277777777777778,0.00555555555555556,0.00277777777777778,0,0.00277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
