year,seas,fleet,index,se_log
1980,7,6,11237.840530666,0.136578986213584
1983,7,6,10753.4282405841,0.118186287212805
1986,7,6,9831.20302579224,0.12625431158009
1989,7,6,9804.79190322573,0.125227772058385
1992,7,6,8267.85972256809,0.148184039451579
1995,7,6,9748.30657323912,0.124375050219284
1998,7,6,8217.38687581237,0.127449692186581
2001,7,6,10706.8767746243,0.123583221420254
2004,7,6,10839.8347334875,0.142155508384792
2003,7,7,84269.3084436867,0.0963374488139161
2004,7,7,83186.3889230728,0.0997345245665855
2005,7,7,89923.4856448865,0.0943344573860835
2006,7,7,82892.0150337085,0.0922652295384299
2007,7,7,89470.5255379162,0.0887334932463501
2008,7,7,78166.0978817649,0.0895958914413714
2009,7,7,77903.6316868362,0.0915335172508474
2010,7,7,77715.5190055527,0.0901553506242754
2011,7,7,85720.5561552356,0.0910654364141022
2012,7,7,88927.9212981954,0.0915492512232673
2013,7,7,93076.9636723283,0.0964375655609926
2014,7,7,91099.8253937298,0.0913831508844404
2015,7,7,98374.5391100661,0.0929347978491828
2016,7,7,101965.462090342,0.0917921658343602
2017,7,7,103391.027422012,0.0895411674010435
2018,7,7,105560.636714614,0.092007525976817
2019,7,7,104500.860000933,0.105524888395447
2021,7,7,126061.494445799,0.0933846644614028
2022,7,7,141478.895844438,0.0955846459870881
